areaType,areaName,areaCode,date,hospitalCases
overview,United Kingdom,K02000001,2021-04-15,2196
overview,United Kingdom,K02000001,2021-04-14,2296
overview,United Kingdom,K02000001,2021-04-13,2410
overview,United Kingdom,K02000001,2021-04-12,2494
overview,United Kingdom,K02000001,2021-04-11,2551
overview,United Kingdom,K02000001,2021-04-10,2652
overview,United Kingdom,K02000001,2021-04-09,2794
overview,United Kingdom,K02000001,2021-04-08,2873
overview,United Kingdom,K02000001,2021-04-07,3020
overview,United Kingdom,K02000001,2021-04-06,3144
overview,United Kingdom,K02000001,2021-04-05,3256
overview,United Kingdom,K02000001,2021-04-04,3230
overview,United Kingdom,K02000001,2021-04-03,3245
overview,United Kingdom,K02000001,2021-04-02,3377
overview,United Kingdom,K02000001,2021-04-01,3558
overview,United Kingdom,K02000001,2021-03-31,3743
overview,United Kingdom,K02000001,2021-03-30,3977
overview,United Kingdom,K02000001,2021-03-29,4198
overview,United Kingdom,K02000001,2021-03-28,4186
overview,United Kingdom,K02000001,2021-03-27,4437
overview,United Kingdom,K02000001,2021-03-26,4486
overview,United Kingdom,K02000001,2021-03-25,4584
overview,United Kingdom,K02000001,2021-03-24,4881
overview,United Kingdom,K02000001,2021-03-23,5151
overview,United Kingdom,K02000001,2021-03-22,5432
overview,United Kingdom,K02000001,2021-03-21,5449
overview,United Kingdom,K02000001,2021-03-20,5568
overview,United Kingdom,K02000001,2021-03-19,5881
overview,United Kingdom,K02000001,2021-03-18,6151
overview,United Kingdom,K02000001,2021-03-17,6586
overview,United Kingdom,K02000001,2021-03-16,6848
overview,United Kingdom,K02000001,2021-03-15,7209
overview,United Kingdom,K02000001,2021-03-14,7317
overview,United Kingdom,K02000001,2021-03-13,7385
overview,United Kingdom,K02000001,2021-03-12,7729
overview,United Kingdom,K02000001,2021-03-11,8067
overview,United Kingdom,K02000001,2021-03-10,8437
overview,United Kingdom,K02000001,2021-03-09,9010
overview,United Kingdom,K02000001,2021-03-08,9475
overview,United Kingdom,K02000001,2021-03-07,9460
overview,United Kingdom,K02000001,2021-03-06,9712
overview,United Kingdom,K02000001,2021-03-05,10313
overview,United Kingdom,K02000001,2021-03-04,10933
overview,United Kingdom,K02000001,2021-03-03,11523
overview,United Kingdom,K02000001,2021-03-02,12139
overview,United Kingdom,K02000001,2021-03-01,12894
overview,United Kingdom,K02000001,2021-02-28,12788
overview,United Kingdom,K02000001,2021-02-27,13269
overview,United Kingdom,K02000001,2021-02-26,14077
overview,United Kingdom,K02000001,2021-02-25,14849
overview,United Kingdom,K02000001,2021-02-24,15534
overview,United Kingdom,K02000001,2021-02-23,16115
overview,United Kingdom,K02000001,2021-02-22,16855
overview,United Kingdom,K02000001,2021-02-21,16857
overview,United Kingdom,K02000001,2021-02-20,17042
overview,United Kingdom,K02000001,2021-02-19,17860
overview,United Kingdom,K02000001,2021-02-18,18522
overview,United Kingdom,K02000001,2021-02-17,19449
overview,United Kingdom,K02000001,2021-02-16,20215
overview,United Kingdom,K02000001,2021-02-15,20994
